Region,Year,Gender,Population
Nuwara-eliya,2018,Male,365
Nuwara-eliya,2018,Total,763
Nuwara-eliya,2019,Female,401
Nuwara-eliya,2019,Male,367
Nuwara-eliya,2019,Total,768
Nuwara-eliya,2020,Female,403
Nuwara-eliya,2020,Male,370
Nuwara-eliya,2020,Total,773
Nuwara-eliya,2021,Female,407
Nuwara-eliya,2021,Male,373
Nuwara-eliya,2021,Total,780
Nuwara-eliya,2022,Female,409
Nuwara-eliya,2022,Male,374
Nuwara-eliya,2022,Total,783
Nuwara-eliya,2023,Female,408
Nuwara-eliya,2023,Male,373
Nuwara-eliya,2023,Total,781
Nuwara-eliya,2024,Female,406
Nuwara-eliya,2024,Male,373
Nuwara-eliya,2024,Total,779
Polonnaruwa,2014,Female,210
Polonnaruwa,2014,Male,206
Polonnaruwa,2014,Total,416
Polonnaruwa,2015,Female,213
Polonnaruwa,2015,Male,209
Polonnaruwa,2015,Total,422
Polonnaruwa,2016,Female,216
Polonnaruwa,2016,Male,212
Polonnaruwa,2016,Total,428
Polonnaruwa,2017,Female,219
Polonnaruwa,2017,Male,214
Polonnaruwa,2017,Total,433
Polonnaruwa,2018,Female,220
Polonnaruwa,2018,Male,216
Polonnaruwa,2018,Total,436
Polonnaruwa,2019,Female,222
Polonnaruwa,2019,Male,218
Polonnaruwa,2019,Total,440
Polonnaruwa,2020,Female,224
Polonnaruwa,2020,Male,219
Polonnaruwa,2020,Total,443
Polonnaruwa,2021,Female,227
Polonnaruwa,2021,Male,221
Polonnaruwa,2021,Total,448
Polonnaruwa,2022,Female,227
Polonnaruwa,2022,Male,222
Polonnaruwa,2022,Total,449
Polonnaruwa,2023,Female,225
Polonnaruwa,2023,Male,220
Polonnaruwa,2023,Total,445
Polonnaruwa,2024,Female,223
Polonnaruwa,2024,Male,219
Polonnaruwa,2024,Total,442
Puttalam,2014,Female,401
Puttalam,2014,Male,377
Puttalam,2014,Total,778
Puttalam,2015,Female,406
Puttalam,2015,Male,380
Puttalam,2015,Total,786
Puttalam,2016,Female,411
Puttalam,2016,Male,386
Puttalam,2016,Total,797
Puttalam,2017,Female,418
Puttalam,2017,Male,392
Puttalam,2017,Total,810
Puttalam,2018,Female,426
Puttalam,2018,Male,399
Puttalam,2018,Total,825
Puttalam,2019,Female,429
Puttalam,2019,Male,403
Puttalam,2019,Total,832
Puttalam,2020,Female,432
Puttalam,2020,Male,405
Puttalam,2020,Total,837
Puttalam,2021,Female,438
Puttalam,2021,Male,411
Puttalam,2021,Total,849
Puttalam,2022,Female,439
Puttalam,2022,Male,411
Puttalam,2022,Total,850
Puttalam,2023,Female,436
Puttalam,2023,Male,409
Puttalam,2023,Total,845
Puttalam,2024,Female,433
Puttalam,2024,Male,406
Puttalam,2024,Total,839
Ratnapura,2014,Female,565
Ratnapura,2014,Male,549
Ratnapura,2014,Total,1114
Ratnapura,2015,Female,570
Ratnapura,2015,Male,555
Ratnapura,2015,Total,1125
Ratnapura,2016,Female,577
Ratnapura,2016,Male,561
Ratnapura,2016,Total,1138
Ratnapura,2017,Female,582
Ratnapura,2017,Male,566
Ratnapura,2017,Total,1148
Ratnapura,2018,Female,590
Ratnapura,2018,Male,573
Ratnapura,2018,Total,1163
Ratnapura,2019,Female,594
Ratnapura,2019,Male,577
Ratnapura,2019,Total,1171
Ratnapura,2020,Female,598
Ratnapura,2020,Male,581
Ratnapura,2020,Total,1179
Ratnapura,2021,Female,603
Ratnapura,2021,Male,587
Ratnapura,2021,Total,1190
Ratnapura,2022,Female,605
Ratnapura,2022,Male,588
Ratnapura,2022,Total,1193
Ratnapura,2023,Female,602
Ratnapura,2023,Male,586
Ratnapura,2023,Total,1188
Ratnapura,2024,Female,600
Ratnapura,2024,Male,583
Ratnapura,2024,Total,1183
Trincomalee,2014,Female,198
Trincomalee,2014,Male,193
Trincomalee,2014,Total,391
Trincomalee,2015,Female,200
Trincomalee,2015,Male,196
Trincomalee,2015,Total,396
Trincomalee,2016,Female,204
Trincomalee,2016,Male,200
Trincomalee,2016,Total,404
Trincomalee,2017,Female,208
Trincomalee,2017,Male,203
Trincomalee,2017,Total,411
Trincomalee,2018,Female,213
Trincomalee,2018,Male,208
Trincomalee,2018,Total,421
Trincomalee,2019,Female,216
Trincomalee,2019,Male,210
Trincomalee,2019,Total,426
Trincomalee,2020,Female,218
Trincomalee,2020,Male,213
